latitude,longitude,label
10.5992701,76.9701552,coconut farm
10.5962846,76.9770152,coconut farm
10.6035351,76.9550632,coconut farm
10.6026821,76.9588362,partly coconut farm
10.5941521,76.9632952,partly coconut farm
10.5954316,76.9766722,partly coconut farm
10.6022556,76.9578072,partly coconut farm
10.5932991,76.9783872,coconut farm
10.6009761,76.9759862,coconut farm
10.5992701,76.9622662,coconut farm
10.5941521,76.9715272,partly coconut farm
10.5996966,76.9591792,coconut farm
10.5932991,76.9749572,coconut farm
10.6031086,76.9519762,coconut farm
10.5950051,76.9749572,partly coconut farm
10.6031086,76.9526622,not coconut farm
10.5988436,76.9591792,coconut farm
10.5954316,76.9722132,coconut farm
10.6018291,76.9595222,partly coconut farm
10.6001231,76.9550632,coconut farm
10.5962846,76.9684402,partly coconut farm
10.5950051,76.9680972,partly coconut farm
10.5945786,76.9680972,partly coconut farm
10.5984171,76.9708412,coconut farm
10.5988436,76.9674112,partly coconut farm
10.6005496,76.9732422,partly coconut farm
10.5962846,76.9783872,partly coconut farm
10.5928726,76.9694692,partly coconut farm
10.6022556,76.9526622,coconut farm
10.6026821,76.9591792,partly coconut farm
10.6009761,76.9746142,partly coconut farm
10.5979906,76.9684402,not coconut farm
10.5941521,76.9554062,coconut farm
10.6035351,76.9674112,partly coconut farm
10.5988436,76.9608942,coconut farm
10.5937256,76.9749572,coconut farm
10.5937256,76.9660392,partly coconut farm
10.5984171,76.9550632,not coconut farm
10.6026821,76.9722132,partly coconut farm
10.5950051,76.9543772,coconut farm
10.5984171,76.9643242,coconut farm
10.6026821,76.9622662,coconut farm
10.5979906,76.9543772,not coconut farm
10.5971376,76.9564352,coconut farm
10.5962846,76.9725562,coconut farm
10.6026821,76.9708412,not coconut farm
10.5984171,76.9588362,coconut farm
10.5988436,76.9725562,partly coconut farm
10.5945786,76.9674112,coconut farm
10.6014026,76.9780442,coconut farm
10.5950051,76.9708412,coconut farm
10.5971376,76.9759862,coconut farm
10.5950051,76.9728992,partly coconut farm
10.6018291,76.9708412,not coconut farm
10.6001231,76.9588362,coconut farm
10.5945786,76.9735852,coconut farm
10.6018291,76.9564352,coconut farm
10.5937256,76.9506042,not coconut farm
10.6026821,76.9674112,partly coconut farm
10.5988436,76.9718702,coconut farm
10.5962846,76.9526622,coconut farm
10.5950051,76.9759862,partly coconut farm
10.6018291,76.9636382,coconut farm
10.5954316,76.9725562,coconut farm
10.6026821,76.9687832,partly coconut farm
10.5992701,76.9540342,partly coconut farm
